key

Passbook,पासवृक,पासबुक,જનનુનડી
Send to  bank,बैंक को भेजें,बँकेला पाठवा,બેંકને મોકલો
Marathi,मराठी,मराठी,મડારી
Register,पंजीकरण करवाना,नोंदणी करा,નોંધણી કરવી
View Passbook,पासबुक देखें,पासबुक पहा,પાસબુક જુઓ
Hello,नमस्ते,नमस्कार,નમસ્તે
welcome,स्वागत,आपले स्वागत आहे,આવકાર્ય
Gujarati,गुजराती,गुजराती,ગુજરાત
Next,अगला,पुढे,આગલું
english,अंग्रेज़ी,इंग्रजी,અંગ્રેજી
Withdraw ,निकालना,माघार घ्या,ખસી જવું
Deposit,जमा,ठेव,થાપણ
Login,लॉग इन करें,लॉगिन,પ્રવેશ કરો
please select your language,कृपया अपनी भाषा चुनें,कृपया आपली भाषा निवडा,કૃપા કરીને તમારી ભાષા પસંદ કરો
Account Balance,खाते में शेष,खात्यातील शिल्लक,હિસાબ સિલક
Skip,छोडना,वगळा,છોડો
hindi ,हिंदी,हिंदी,હિંદી
digi khata,डिजी खता,डिजी खता,ખરબચડી
